Login,Role,Standard Role,Role Base Name,Role Group
thiagobrito,Developer,Developer - Sr,Developer,4 - Senior
thiagoca,Tester,QA - Sr,QA,4 - Senior
thiagocarvalho,Tester,QA - Sr,QA,4 - Senior
thiagocesar,Developer,Developer - Sr,Developer,4 - Senior
thiagodf,Developer,Developer - Mid,Developer,3 - Mid-Level
thiagodorea,Developer,Developer - Sr,Developer,4 - Senior
thiagofreitas,Tester,QA - Sr,QA,4 - Senior
thiagofv,Scrum Master,Scrum Master,Scrum Master,4 - Senior
thiagog,Developer,Developer - Sr,Developer,4 - Senior
thiagogc,Squad Leader,Scrum Master,Scrum Master,4 - Senior
thiagogm,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
thiagohl,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
thiagoht,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
thiagoj,UI Designer,UI Designer - Sr,UI Designer,4 - Senior
thiagolima,Developer,Developer - Jr,Developer,2 - Junior
thiagom,Developer Master,Developer - Master,Developer,5 - Master / Manager
thiagomb,Developer Master,Developer - Master,Developer,5 - Master / Manager
thiagomichel,Developer,Developer - Sr,Developer,4 - Senior
thiagomp,Developer,Developer - Sr,Developer,4 - Senior
thiagooc,Developer,Developer - Mid,Developer,3 - Mid-Level
thiagoof,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
thiagooliveira,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
thiagoos,Developer,Developer - Mid,Developer,3 - Mid-Level
thiagoreis,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
thiagorinco,Developer,Developer - Mid,Developer,3 - Mid-Level
thiagorw,Developer,Developer - Sr,Developer,4 - Senior
thiagosc,Developer,Developer - Jr,Developer,2 - Junior
thiagosm,Developer,Developer - Mid,Developer,3 - Mid-Level
thiagoteixeira,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
thiagotorres,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
thiagovale,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
thiagoyf,Developer,Developer - Sr,Developer,4 - Senior
thomas.leitao,Developer,Developer - Sr,Developer,4 - Senior
thomasp,Data & Analytics Manager,Data Analyst - Master,Data Analyst,5 - Master / Manager
thomaz.halter,Squad Leader,Scrum Master,Scrum Master,4 - Senior
thomaz.kopanakis,Developer,Developer - Sr,Developer,4 - Senior
thomazn,Data Developer Master,Data Developer - Master,Data Developer,5 - Master / Manager
thomazs,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
tiago.almeida,Developer,Developer - Sr,Developer,4 - Senior
tiago.araujo,Scrum Master,Scrum Master,Scrum Master,4 - Senior
tiago.coelho,Developer,Developer - Sr,Developer,4 - Senior
tiago.freire,Developer,Developer - Sr,Developer,4 - Senior
tiago.moscoski,Squad Leader,Scrum Master,Scrum Master,4 - Senior
tiago.rodrigues,Data Developer,Data Developer - Jr,Data Developer,2 - Junior
tiagoa,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
tiagoam,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
tiagoao,Developer Master,Developer - Master,Developer,5 - Master / Manager
tiagoayres,Business Analyst,Business Analyst - Sr,Business Analyst,4 - Senior
tiagobatista,Developer,Developer - Mid,Developer,3 - Mid-Level
tiagocc,Developer,Developer - Mid,Developer,3 - Mid-Level
tiagocosta,Developer,Developer - Sr,Developer,4 - Senior
tiagocp,Developer,Developer - Mid,Developer,3 - Mid-Level
tiagoff,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
tiagofg,Developer,Developer - Mid,Developer,3 - Mid-Level
tiagofs,Developer,Developer - Sr,Developer,4 - Senior
tiagohp,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
tiagokodama,Developer,Developer - Sr,Developer,4 - Senior
tiagol,Data & Analytics Specialist Master,Data Analyst - Master,Data Analyst,5 - Master / Manager
tiagom,Data Developer Master,Data Developer - Master,Data Developer,5 - Master / Manager
tiagomarmitt,Developer,Developer - Mid,Developer,3 - Mid-Level
tiagomessias,Tester,QA - Mid,QA,3 - Mid-Level
tiagonogueira,Developer,Developer - Sr,Developer,4 - Senior
tiagons,Developer,Developer - Sr,Developer,4 - Senior
tiagoo,Developer,Developer - Sr,Developer,4 - Senior
tiagov,Developer,Developer - Sr,Developer,4 - Senior
tianchengz,Developer,Developer - Mid,Developer,3 - Mid-Level
tianna.duty,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
tibisay.sanchez,Data & Analytics Manager,Not Applicable,Not Applicable,5 - Master / Manager
tiffinyz,Project Manager,Project Manager,Project Manager,5 - Master / Manager
tim.pepper,Developer,Developer - Sr,Developer,4 - Senior
tizz,Senior Design Director,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
tkanashiro,Developer,Developer - Mid,Developer,3 - Mid-Level
tkraetzer,Developer,Developer - Sr,Developer,4 - Senior
tlobato,Developer,Developer - Jr,Developer,2 - Junior
tmaiochi,Developer,Developer - Mid,Developer,3 - Mid-Level
tmares,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
tmatheus,Developer,Intern,Intern,1 - Intern
tmaziero,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
tmedeiros,Tester,QA - Sr,QA,4 - Senior
tmelo,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
tmenezes,Developer,Developer - Mid,Developer,3 - Mid-Level
tmerino,Software Architect,Systems Architect,Systems Architect,5 - Master / Manager
tmiccoli,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
tmignoli,Developer,Developer - Mid,Developer,3 - Mid-Level
tmimura,Developer,Developer - Jr,Developer,2 - Junior
tmonique,Tester,QA - Mid,QA,3 - Mid-Level
tmoreira,Tester,QA - Mid,QA,3 - Mid-Level
tmoura,Developer Master,Developer - Master,Developer,5 - Master / Manager
tnayara,Tester,QA - Mid,QA,3 - Mid-Level
tnoberto,Developer,Developer - Mid,Developer,3 - Mid-Level
tobyc,Developer,Developer - Mid,Developer,3 - Mid-Level
tomas.souza,Tester,QA - Mid,QA,3 - Mid-Level
tpetry,UX Designer,UX Specialist - Sr,UX Specialist,4 - Senior
tporfirio,Developer,Developer - Mid,Developer,3 - Mid-Level
tprimitivo,Developer,Developer - Sr,Developer,4 - Senior
tribeiro,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
tristan.vogler,IT Leader,Not Applicable,Not Applicable,4 - Senior
trodrigues,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
tsantana,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
tscarpelin,Developer,Intern,Intern,1 - Intern
tsimionato,Developer,Developer - Mid,Developer,3 - Mid-Level
tsponchiado,Developer,Developer - Sr,Developer,4 - Senior
tstaibano,Developer,Developer - Sr,Developer,4 - Senior
tstefanello,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
ttersariol,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
ttresca,Support Analyst,Support Analyst - Jr,Support Analyst,2 - Junior
tuannyn,Tester,QA - Sr,QA,4 - Senior
tuanymariah,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
tulio.bazan,Software Architect,Systems Architect,Systems Architect,5 - Master / Manager
tulio.polachini,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
tuliof,Developer,Developer - Mid,Developer,3 - Mid-Level
