Login,Role,Standard Role,Role Base Name,Role Group
danielahirose,Product Lead,UX Specialist - Sr,UX Specialist,4 - Senior
danielaliberato,Tester,QA - Sr,QA,4 - Senior
danielamr,Developer,Developer - Sr,Developer,4 - Senior
danielar,Product Designer,UI Designer - Jr,UI Designer,2 - Junior
danielarc,Tester,QA - Sr,QA,4 - Senior
danielars,Developer,Developer - Sr,Developer,4 - Senior
danielasd,Developer,Developer - Mid,Developer,3 - Mid-Level
danielavb,Tester,QA - Sr,QA,4 - Senior
danielb,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
danielbr,Squad Leader,Scrum Master,Scrum Master,4 - Senior
danielbs,Developer,Developer - Mid,Developer,3 - Mid-Level
danielcastro,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
danielcb,Developer,Developer - Mid,Developer,3 - Mid-Level
danielcf,Developer,Developer - Jr,Developer,2 - Junior
danielcoelho,Developer,Developer - Mid,Developer,3 - Mid-Level
danielcr,Developer,Developer - Jr,Developer,2 - Junior
danieldr,Developer,Developer - Sr,Developer,4 - Senior
danields,Developer,Developer - Mid,Developer,3 - Mid-Level
daniele.scarparo,Tester,QA - Mid,QA,3 - Mid-Level
danieleas,Tester,QA - Jr,QA,2 - Junior
danieleataydes,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
danieleb,Developer,Developer - Sr,Developer,4 - Senior
danieleg,Tester,QA - Mid,QA,3 - Mid-Level
danieleps,Developer,Developer - Sr,Developer,4 - Senior
danielfi,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
danielfonseca,Tester,QA - Sr,QA,4 - Senior
danielfs,Support Analyst,Support Analyst - Sr,Support Analyst,4 - Senior
danielgr,Developer,Developer - Mid,Developer,3 - Mid-Level
danielifabiani,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
daniellaa,Squad Leader,Scrum Master,Scrum Master,4 - Senior
daniellaoliveira,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
danielle.cirillo,Developer,Developer - Mid,Developer,3 - Mid-Level
danielle.ferreira,Product Lead,UX Specialist - Sr,UX Specialist,4 - Senior
danielle.franca,Developer,Developer - Sr,Developer,4 - Senior
danielle.spall,Project Manager,Project Manager,Project Manager,5 - Master / Manager
danielleevers,Tester,QA - Sr,QA,4 - Senior
daniellef,Developer,Developer - Sr,Developer,4 - Senior
daniellens,Tester,QA - Mid,QA,3 - Mid-Level
danielles,UX/UI Designer,UI Designer - Sr,UI Designer,4 - Senior
daniellobo,Developer,Developer - Sr,Developer,4 - Senior
daniellyms,Developer,Intern,Intern,1 - Intern
danielmartins,Scrum Master,Scrum Master,Scrum Master,4 - Senior
danielmatos,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
danielmc,Developer,Developer - Mid,Developer,3 - Mid-Level
danielmendonca,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
danieln,Developer,Developer - Jr,Developer,2 - Junior
danieloshiro,Business Expert,Business Analyst - Sr,Business Analyst,5 - Master / Manager
danielpaixao,Developer,Developer - Sr,Developer,4 - Senior
danielpauli,Developer,Developer - Mid,Developer,3 - Mid-Level
danielpereira,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
danielpeters,Squad Leader,Scrum Master,Scrum Master,4 - Senior
danielpino,UI Designer,UI Designer - Sr,UI Designer,4 - Senior
danielps,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
danielq,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
danielsg,Developer Master,Developer - Master,Developer,5 - Master / Manager
danielsouza,Developer,Developer - Sr,Developer,4 - Senior
danielt,Developer,Developer - Sr,Developer,4 - Senior
danieltellez,Developer,Developer - Sr,Developer,4 - Senior
danieltp,Business Analyst,Business Analyst - Sr,Business Analyst,4 - Senior
danielv,Developer,Intern,Intern,1 - Intern
danielvalencia,Developer,Developer - Sr,Developer,4 - Senior
danielvuono,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
danielw,Developer,Developer - Sr,Developer,4 - Senior
danielxie,Developer,Developer - Mid,Developer,3 - Mid-Level
danillofb,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
danilo.gurski,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
danilo.marques,Developer,Developer - Mid,Developer,3 - Mid-Level
daniloac,Tester,QA - Mid,QA,3 - Mid-Level
daniloam,Developer,Developer - Mid,Developer,3 - Mid-Level
daniloandre,Tester,QA - Sr,QA,4 - Senior
daniloaraujo,Tester,QA - Mid,QA,3 - Mid-Level
danilobl,Developer,Intern,Intern,1 - Intern
danilofl,Business Analyst,Business Analyst - Sr,Business Analyst,4 - Senior
danilomv,Developer,Developer - Sr,Developer,4 - Senior
danilons,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
danilorn,Developer,Developer - Mid,Developer,3 - Mid-Level
daniloxs,Developer,Developer - Sr,Developer,4 - Senior
danteluccia,Developer,Developer - Jr,Developer,2 - Junior
danubia,Developer,Developer - Mid,Developer,3 - Mid-Level
danubiag,Developer,Developer - Mid,Developer,3 - Mid-Level
danubian,Scrum Master,Scrum Master,Scrum Master,4 - Senior
danusa,Tester,QA - Mid,QA,3 - Mid-Level
dany.bautista,Developer,Developer - Sr,Developer,4 - Senior
darci.junior,Developer,Developer - Sr,Developer,4 - Senior
darioh,Senior Digital Strategist,Senior Digital Strategist,Senior Digital Strategist,6 - Master 2 / Senior Manager
darionicolas,Developer,Developer - Sr,Developer,4 - Senior
darlan,Developer,Developer - Sr,Developer,4 - Senior
darleisonr,Developer,Intern,Intern,1 - Intern
darlyane,Tester,QA - Sr,QA,4 - Senior
darlysson,Developer,Developer - Sr,Developer,4 - Senior
darren,Product Designer Expert,UI Designer - Master,UI Designer,5 - Master / Manager
dasayeve,Developer Master,Developer - Master,Developer,5 - Master / Manager
dave.gonzales,Developer Master,Developer - Master,Developer,5 - Master / Manager
davellar,Developer,Developer - Sr,Developer,4 - Senior
davemontablan,Quality Analyst,QA - Mid,QA,3 - Mid-Level
davi,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
davi.bispo,Developer Master,Developer - Master,Developer,5 - Master / Manager
davicarvalho,Developer,Developer - Jr,Developer,2 - Junior
david.ferran,Developer,Developer - Sr,Developer,4 - Senior
david.jaimes,Tech Intern,Intern,Intern,1 - Intern
david.jaramillo,Tech Intern,Intern,Intern,1 - Intern
david.martins,Developer,Developer - Jr,Developer,2 - Junior
david.pineros,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
david.ramirez,Developer,Developer - Sr,Developer,4 - Senior
davidcl,Developer,Developer - Sr,Developer,4 - Senior
daviddm,Developer Master,Developer - Master,Developer,5 - Master / Manager
davidsouza,Developer,Developer - Sr,Developer,4 - Senior
davidst,Developer,Developer - Sr,Developer,4 - Senior
davifarias,Developer,Developer - Jr,Developer,2 - Junior
davifm,Developer,Developer - Sr,Developer,4 - Senior
davileyendecker,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
davinow,Developer,Developer - Sr,Developer,4 - Senior
davip,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
davir,Developer Master,Developer - Master,Developer,5 - Master / Manager
davirodrigues,Developer,Developer - Mid,Developer,3 - Mid-Level
davisilva,Developer,Developer - Jr,Developer,2 - Junior
davisomlt,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
davison,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
davissons,Developer,Developer - Mid,Developer,3 - Mid-Level
davisz,Developer,Developer - Mid,Developer,3 - Mid-Level
davizonete,Developer,Developer - Sr,Developer,4 - Senior
dayanac,Developer Master,Developer - Master,Developer,5 - Master / Manager
dayanef,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
dayaner,Squad Leader,Scrum Master,Scrum Master,4 - Senior
dayanes,Developer,Developer - Mid,Developer,3 - Mid-Level
dayvidc,Developer,Intern,Intern,1 - Intern
dbaldasso,Developer,Developer - Sr,Developer,4 - Senior
dbandoch,Project Manager,Project Manager,Project Manager,5 - Master / Manager
dbelizario,Developer,Developer - Mid,Developer,3 - Mid-Level
dbenetta,Associate Product Manager,UX Specialist - Mid,UX Specialist,3 - Mid-Level
dbergami,Developer,Developer - Sr,Developer,4 - Senior
dbisagio,Tester,QA - Sr,QA,4 - Senior
dboas,Developer,Developer - Jr,Developer,2 - Junior
dbordignon,Data & Analytics Specialist,Data Analyst - Mid,Data Analyst,3 - Mid-Level
dbosso,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
dbrasil,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
dbregenski,Developer,Developer - Sr,Developer,4 - Senior
dbudoia,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
dcamillo,Developer,Developer - Sr,Developer,4 - Senior
dcanhameiro,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
dcardoso,Developer,Developer - Sr,Developer,4 - Senior
dcarrazeiro,Developer,Developer - Mid,Developer,3 - Mid-Level
dcastelhano,Developer,Developer - Sr,Developer,4 - Senior
dcavalcanti,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
dchagas,Developer,Intern,Intern,1 - Intern
dcioqueta,Developer,Developer - Mid,Developer,3 - Mid-Level
dcoimbra,DevOps,Not Applicable,Not Applicable,3 - Mid-Level
dconrado,Developer,Developer - Sr,Developer,4 - Senior
dcremonini,Tester,QA - Sr,QA,4 - Senior
dcunha,Developer,Developer - Mid,Developer,3 - Mid-Level
ddelfino,Developer,Developer - Mid,Developer,3 - Mid-Level
debora,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
deboraf,Tester,QA - Mid,QA,3 - Mid-Level
deborafs,Developer,Developer - Mid,Developer,3 - Mid-Level
deborags,Developer,Developer - Mid,Developer,3 - Mid-Level
deborahc,Developer,Developer - Sr,Developer,4 - Senior
deborahlucia,Developer,Developer - Sr,Developer,4 - Senior
deborahm,Project Manager,Project Manager,Project Manager,5 - Master / Manager
deborahn,Tester,QA - Sr,QA,4 - Senior
deboraoliveira,Squad Leader,Scrum Master,Scrum Master,4 - Senior
deborasl,Tester,QA - Mid,QA,3 - Mid-Level
deborat,Developer Master,Developer - Master,Developer,5 - Master / Manager
deboravb,Tester,QA - Sr,QA,4 - Senior
deidi,Support Analyst,Support Analyst - Mid,Support Analyst,3 - Mid-Level
deise,Tester,QA - Sr,QA,4 - Senior
deisers,Developer,Developer - Jr,Developer,2 - Junior
deivid,Developer,Developer - Sr,Developer,4 - Senior
delsonj,Developer,Developer - Sr,Developer,4 - Senior
demetriof,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
demetrius,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
deners,Developer,Developer - Mid,Developer,3 - Mid-Level
denersr,Developer,Developer - Mid,Developer,3 - Mid-Level
denilsonaf,Information Security Analyst,Not Applicable,Not Applicable,3 - Mid-Level
deniopj,Developer,Developer - Mid,Developer,3 - Mid-Level
denis.souza,Tester,QA - Mid,QA,3 - Mid-Level
denisds,Tester,QA - Sr,QA,4 - Senior
denisec,Scrum Master,Scrum Master,Scrum Master,4 - Senior
deniseckhard,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
denisoliveira,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
denison,Developer,Developer - Sr,Developer,4 - Senior
denisp,Developer,Developer - Mid,Developer,3 - Mid-Level
denisrighi,Developer,Developer - Mid,Developer,3 - Mid-Level
denisrm,Developer,Developer - Sr,Developer,4 - Senior
dennis.laping,Developer,Developer - Mid,Developer,3 - Mid-Level
dennis.oliveira,Developer,Developer - Sr,Developer,4 - Senior
dennis.rojas,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
dennist,Developer,Developer - Mid,Developer,3 - Mid-Level
denysrn,Developer,Developer - Jr,Developer,2 - Junior
derekchen,Developer,Developer - Jr,Developer,2 - Junior
derekl,Scrum Master,Scrum Master,Scrum Master,4 - Senior
derlandy,Developer,Developer - Sr,Developer,4 - Senior
desire,Data & Analytics Specialist,Data Analyst - Jr,Data Analyst,2 - Junior
desiree,Developer,Developer - Mid,Developer,3 - Mid-Level
devanir,Project Manager,Project Manager,Project Manager,5 - Master / Manager
devill,Tester,QA - Jr,QA,2 - Junior
deyvid,Developer,Developer - Mid,Developer,3 - Mid-Level
dfabri,"Senior Director, Technology",Not Applicable,Not Applicable,6 - Master 2 / Senior Manager
dfelisbino,Developer,Developer - Sr,Developer,4 - Senior
dferrari,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
dfigueiredo,Tester,QA - Mid,QA,3 - Mid-Level
dfitipaldi,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
dformagio,Developer Master,Developer - Master,Developer,5 - Master / Manager
dfraga,Developer,Developer - Sr,Developer,4 - Senior
dfragoso,Tester,QA - Sr,QA,4 - Senior
dfurtado,Support Analyst,Support Analyst - Jr,Support Analyst,2 - Junior
dgarbim,Developer,Developer - Sr,Developer,4 - Senior
dgiacomello,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
dgiomo,Developer Master,Developer - Master,Developer,5 - Master / Manager
dgrigolon,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
dgustavo,Developer,Developer - Mid,Developer,3 - Mid-Level
dhemes,Developer,Developer - Mid,Developer,3 - Mid-Level
dhiarllon,Developer,Developer - Mid,Developer,3 - Mid-Level
dhiego.carmo,Developer,Developer - Sr,Developer,4 - Senior
dhiroshi,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
diana.cubillos,Quality Analyst Manager,Not Applicable,Not Applicable,5 - Master / Manager
dianac,Quality Analyst Manager,QA - Master,QA,5 - Master / Manager
dianear,Product Lead,UX Specialist - Sr,UX Specialist,4 - Senior
dieferson.cruz,Tester,QA - Sr,QA,4 - Senior
dieggos,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
diego.agudelo,Quality Analyst,QA - Sr,QA,4 - Senior
diego.ariza,Developer,Developer - Mid,Developer,3 - Mid-Level
diego.caballero,Developer Master,Developer - Master,Developer,5 - Master / Manager
diego.diaz,Tech Intern,Intern,Intern,1 - Intern
diego.garcia,Developer,Developer - Sr,Developer,4 - Senior
diego.machado,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
diego.mota,Developer,Developer - Sr,Developer,4 - Senior
diego.perez,Developer,Developer - Sr,Developer,4 - Senior
diego.ramon,Developer,Developer - Sr,Developer,4 - Senior
diego.rocha,Developer,Developer - Sr,Developer,4 - Senior
diego.velasquez,Developer,Developer - Jr,Developer,2 - Junior
diegoacr,Data & Analytics Specialist,Data Developer - Mid,Data Developer,3 - Mid-Level
diegoalves,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
diegoandrade,Developer,Developer - Sr,Developer,4 - Senior
diegoaprigio,Developer,Developer - Sr,Developer,4 - Senior
diegoaraujo,Developer,Developer - Mid,Developer,3 - Mid-Level
diegoarmindo,Developer,Developer - Mid,Developer,3 - Mid-Level
diegob,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
diegobc,Developer,Developer - Sr,Developer,4 - Senior
diegocardoso,Developer,Developer - Jr,Developer,2 - Junior
diegocarvalho,Tester,QA - Sr,QA,4 - Senior
diegodiniz,Developer,Developer - Sr,Developer,4 - Senior
diegodr,Developer,Developer - Sr,Developer,4 - Senior
diegofarias,Tester,QA - Sr,QA,4 - Senior
diegofdc,Developer,Developer - Sr,Developer,4 - Senior
diegogatti,Group Product Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
diegok,Developer Master,Developer - Master,Developer,5 - Master / Manager
diegols,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
diegom,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
diegomd,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
diegomdg,Developer,Developer - Mid,Developer,3 - Mid-Level
diegooliveira,Developer,Developer - Sr,Developer,4 - Senior
diegopassos,Tester,QA - Jr,QA,2 - Junior
diegopc,Developer,Developer - Mid,Developer,3 - Mid-Level
diegopineda,Developer,Developer - Sr,Developer,4 - Senior
diegopn,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
diegor,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
diegoribeiro,Developer,Developer - Mid,Developer,3 - Mid-Level
diegors,Developer,Developer - Mid,Developer,3 - Mid-Level
diegosf,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
diegosilva,Data Scientist Master,Data Scientist - Master,Data Scientist,5 - Master / Manager
diegovg,Scrum Master,Scrum Master,Scrum Master,4 - Senior
diegovissini,Developer Master,Developer - Master,Developer,5 - Master / Manager
dikex,Developer,Developer - Jr,Developer,2 - Junior
dimarian.herrera,Product Owner,Business Analyst - Mid,Business Analyst,3 - Mid-Level
dingcatubag,Developer,Developer - Mid,Developer,3 - Mid-Level
dinora,Developer,Developer - Mid,Developer,3 - Mid-Level
diogenesk,DevOps,Not Applicable,Not Applicable,4 - Senior
diogo.moura,Data Scientist,Data Scientist - Sr,Data Scientist,4 - Senior
diogogomes,Developer,Developer - Sr,Developer,4 - Senior
diogojg,Developer,Developer - Mid,Developer,3 - Mid-Level
diogom,Developer,Intern,Intern,1 - Intern
diogomarcos,Developer,Developer - Sr,Developer,4 - Senior
diogomc,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
diogomp,Tester,QA - Sr,QA,4 - Senior
diogopiza,Process Analyst,Not Applicable,Not Applicable,4 - Senior
diogosales,Developer,Developer - Mid,Developer,3 - Mid-Level
dionatan,Developer,Developer - Sr,Developer,4 - Senior
diones,Developer,Developer - Mid,Developer,3 - Mid-Level
dionism,Developer,Developer - Sr,Developer,4 - Senior
diorgenesr,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
diuer,Scrum Master,Scrum Master,Scrum Master,4 - Senior
divinomj,Developer,Developer - Sr,Developer,4 - Senior
djairm,Developer,Developer - Jr,Developer,2 - Junior
djonathan.barros,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
dkappauni,Developer,Developer - Mid,Developer,3 - Mid-Level
dkumar,Developer,Developer - Sr,Developer,4 - Senior
dlaminne,Product Manager-EMEA,UI Designer - Sr,UI Designer,4 - Senior
dliberato,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
dlima,Developer Master,Developer - Master,Developer,5 - Master / Manager
dlucca,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
dlucena,Developer,Developer - Mid,Developer,3 - Mid-Level
dmacedo,Developer,Developer - Sr,Developer,4 - Senior
dmaldonado,Developer,Developer - Sr,Developer,4 - Senior
dmarshall,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
dmartinelle,Developer Master,Developer - Master,Developer,5 - Master / Manager
dmateus,Developer,Developer - Sr,Developer,4 - Senior
dmattos,Developer,Developer - Jr,Developer,2 - Junior
dmaurer,Developer,Developer - Jr,Developer,2 - Junior
dmaximo,Developer Master,Developer - Master,Developer,5 - Master / Manager
dmello,Scrum Master,Scrum Master,Scrum Master,4 - Senior
dmendonca,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
dmenon,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
dmiranda,Developer Master,Developer - Master,Developer,5 - Master / Manager
dmorsoleto,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
dmoura,Developer,Intern,Intern,1 - Intern
dnascimento,Developer,Developer - Sr,Developer,4 - Senior
dnero,Developer,Intern,Intern,1 - Intern
dnicoletti,Developer Master,Developer - Master,Developer,5 - Master / Manager
domingosn,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
domingost,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
donarapinheiro,Tester,QA - Mid,QA,3 - Mid-Level
donizetej,Developer,Developer - Jr,Developer,2 - Junior
donizetep,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
donizettij,Developer,Developer - Sr,Developer,4 - Senior
dora.krajcarz,Client Engagement Director,Scrum Master,Scrum Master,4 - Senior
dorisw,Developer,Developer - Jr,Developer,2 - Junior
doug.mccullough,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
douglas,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
douglas.held,Developer,Developer - Sr,Developer,4 - Senior
douglas.nunes,Developer,Intern,Intern,1 - Intern
douglasaurelio,Controllership Analyst,Not Applicable,Not Applicable,4 - Senior
douglasbrandao,Developer,Developer - Sr,Developer,4 - Senior
douglasc,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
douglaseduardo,Developer,Developer - Sr,Developer,4 - Senior
douglasef,Developer Master,Developer - Master,Developer,5 - Master / Manager
douglasfb,Developer,Developer - Sr,Developer,4 - Senior
douglasgf,Tester,QA - Sr,QA,4 - Senior
douglasgomes,Squad Leader,Scrum Master,Scrum Master,4 - Senior
douglasgr,Developer,Developer - Sr,Developer,4 - Senior
douglaslaurindo,Developer,Developer - Mid,Developer,3 - Mid-Level
douglasnascimento,Developer,Developer - Mid,Developer,3 - Mid-Level
douglaso,Developer,Developer - Mid,Developer,3 - Mid-Level
douglasqueiroz,Developer,Developer - Jr,Developer,2 - Junior
douglasr,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
douglassilva,Developer,Developer - Sr,Developer,4 - Senior
douglassp,Developer Master,Developer - Master,Developer,5 - Master / Manager
dowglass,Developer,Developer - Mid,Developer,3 - Mid-Level
dpaixao,Developer,Intern,Intern,1 - Intern
dpalhares,Developer,Intern,Intern,1 - Intern
dpalmas,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
dpantoja,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
dpaulino,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
dpelegrini,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
dperrone,Developer,Developer - Sr,Developer,4 - Senior
dpieper,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
dpinheiro,Project Manager,Project Manager,Project Manager,5 - Master / Manager
dpontes,Developer,Developer - Jr,Developer,2 - Junior
dprado,Systems Architect,Software Architect - Sr,Software Architect,4 - Senior
dquevedo,Developer,Developer - Sr,Developer,4 - Senior
drampazzo,Developer,Developer - Sr,Developer,4 - Senior
dreis,Developer,Developer - Sr,Developer,4 - Senior
driellig,Scrum Master,Scrum Master,Scrum Master,4 - Senior
drodrigues,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
drojas,Tester,QA - Sr,QA,4 - Senior
dsaleth,Developer,Developer - Mid,Developer,3 - Mid-Level
dscipioni,Developer,Developer - Mid,Developer,3 - Mid-Level
dshang,Developer,Developer - Mid,Developer,3 - Mid-Level
dsimoes,Product Designer Expert,UI Designer - Master,UI Designer,5 - Master / Manager
dssousa,Product Owner,Business Analyst - Sr,Business Analyst,4 - Senior
dtrevisan,Tester,QA - Jr,QA,2 - Junior
duilio,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
dukep,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
dumasc,Developer,Developer - Sr,Developer,4 - Senior
durval,Developer Master,Developer - Master,Developer,5 - Master / Manager
dvaranda,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
dveltri,Tester,QA - Mid,QA,3 - Mid-Level
dveras,Developer,Developer - Sr,Developer,4 - Senior
dvicente,Tester,QA - Mid,QA,3 - Mid-Level
dvidal,Developer,Developer - Sr,Developer,4 - Senior
dvissotto,Developer,Developer - Mid,Developer,3 - Mid-Level
dyanzhao,Developer,Developer - Mid,Developer,3 - Mid-Level
dybalaz,Developer,Developer - Jr,Developer,2 - Junior
dyeison,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
dylanl,Tester,QA - Mid,QA,3 - Mid-Level
dzambon,Developer,Developer - Jr,Developer,2 - Junior
dzanardo,Developer Master,Developer - Master,Developer,5 - Master / Manager
eadmundl,Developer,Developer - Mid,Developer,3 - Mid-Level
eaffonso,Developer Master,Developer - Master,Developer,5 - Master / Manager
ealcantara,Developer,Developer - Mid,Developer,3 - Mid-Level
ealencar,Developer,Developer - Sr,Developer,4 - Senior
ealmeida,Developer,Developer - Jr,Developer,2 - Junior
earchioli,Squad Leader,Scrum Master,Scrum Master,4 - Senior
eazevedo,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
ebalthazar,Developer,Developer - Mid,Developer,3 - Mid-Level
ebarbieri,Developer,Developer - Mid,Developer,3 - Mid-Level
ebassi,Developer,Intern,Intern,1 - Intern
ebernardo,Developer Master,Developer - Master,Developer,5 - Master / Manager
ebispo,Developer,Intern,Intern,1 - Intern
ebordon,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
ebruno,Developer,Developer - Mid,Developer,3 - Mid-Level
ecaldeira,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
ecalegari,Developer,Developer - Sr,Developer,4 - Senior
ecampos,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
ecapovilla,Developer,Developer - Sr,Developer,4 - Senior
echuanw,Developer,Developer - Mid,Developer,3 - Mid-Level
eclisc,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
ecoelho,Developer,Intern,Intern,1 - Intern
ecominotti,Support Analyst,Support Analyst - Sr,Support Analyst,4 - Senior
ecorrea,Developer,Developer - Mid,Developer,3 - Mid-Level
ecrozatti,Developer,Developer - Mid,Developer,3 - Mid-Level
edeilsonsouza,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
edenilsonwt,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
eder.catini,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
eder.dionisio,Developer,Developer - Sr,Developer,4 - Senior
eder.martins,Developer,Developer - Mid,Developer,3 - Mid-Level
ederlg,Developer,Developer - Sr,Developer,4 - Senior
edert,Developer,Developer - Sr,Developer,4 - Senior
edfajardo,Developer,Developer - Sr,Developer,4 - Senior
edgar.davila,Tech Intern,Intern,Intern,1 - Intern
edgarcardoso,Developer,Developer - Mid,Developer,3 - Mid-Level
edgarjr,Developer,Developer - Mid,Developer,3 - Mid-Level
edgarsm,Developer,Developer - Mid,Developer,3 - Mid-Level
edias,Principal Software Developer,Developer - Master,Developer,6 - Master 2 / Senior Manager
edilaine,Tester,QA - Mid,QA,3 - Mid-Level
edilbert,Tester,QA - Mid,QA,3 - Mid-Level
edilsonr,Developer,Developer - Sr,Developer,4 - Senior
edilsonsm,Developer Master,Developer - Master,Developer,5 - Master / Manager
edimaras,Developer,Developer - Mid,Developer,3 - Mid-Level
edird,Developer,Developer - Sr,Developer,4 - Senior
edisonf,Communication Designer Expert,Not Applicable,Not Applicable,5 - Master / Manager
edlyngarcia,Developer,Developer - Sr,Developer,4 - Senior
edmarc,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
edmard,Support Analyst,Support Analyst - Jr,Support Analyst,2 - Junior
edmarvabril,Developer,Developer - Sr,Developer,4 - Senior
ednaldo,Developer,Developer - Sr,Developer,4 - Senior
ednaldos,Developer,Developer - Sr,Developer,4 - Senior
ednardo,Developer Master,Developer - Master,Developer,5 - Master / Manager
ednas,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
ednei.betti,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
edneygo,Software Architect,Systems Architect,Systems Architect,5 - Master / Manager
ednilson,Developer,Developer - Mid,Developer,3 - Mid-Level
edrian,Developer,Developer - Sr,Developer,4 - Senior
edson.arantes,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
edson.ruiz,Developer,Developer - Sr,Developer,4 - Senior
edsoncarlos,Developer,Developer - Sr,Developer,4 - Senior
